# radius        density         temperature       velocity          h          he          c           n           o           ne           mg           si          s          ar          ca          ti          cr           fe           ni          fe52
     7.812500e+07       1.402673e+00       4.310999e+07       6.222798e+05       8.551348e-14       2.566548e-02       9.902408e-06       0.000000e+00       1.065969e-08       2.540861e-08       5.529720e-08       1.816681e-06       2.747516e-06       6.788804e-06       3.535377e-05       7.228726e-05       7.246724e-05       4.436216e-02       1.347761e-04       9.296361e-01
     2.343750e+08       1.392936e+00       4.304155e+07       1.607070e+06       8.551348e-14       2.566548e-02       9.902408e-06       0.000000e+00       1.065969e-08       2.540861e-08       5.529720e-08       1.816681e-06       2.747516e-06       6.788804e-06       3.535377e-05       7.228726e-05       7.246724e-05       4.436216e-02       1.347761e-04       9.296361e-01
     3.906250e+08       1.379046e+00       4.308397e+07       2.215780e+06       8.551346e-14       2.566548e-02       9.902410e-06       0.000000e+00       1.065971e-08       2.540865e-08       5.529715e-08       1.816681e-06       2.747516e-06       6.788804e-06       3.535377e-05       7.228726e-05       7.246724e-05       4.436216e-02       1.347761e-04       9.296361e-01
     5.468750e+08       1.381965e+00       4.310315e+07       2.982171e+06       8.551344e-14       2.566548e-02       9.902412e-06       0.000000e+00       1.065973e-08       2.540869e-08       5.529711e-08       1.816681e-06       2.747516e-06       6.788804e-06       3.535378e-05       7.228726e-05       7.246724e-05       4.436216e-02       1.347761e-04       9.296361e-01
     7.031250e+08       1.414976e+00       4.298441e+07       3.337812e+06       8.551338e-14       2.566548e-02       9.902417e-06       0.000000e+00       1.065978e-08       2.540879e-08       5.529697e-08       1.816681e-06       2.747517e-06       6.788804e-06       3.535378e-05       7.228727e-05       7.246724e-05       4.436216e-02       1.347761e-04       9.296361e-01
     8.593750e+08       1.452731e+00       4.298501e+07       3.512145e+06       8.551333e-14       2.566548e-02       9.902422e-06       0.000000e+00       1.065983e-08       2.540888e-08       5.529686e-08       1.816682e-06       2.747517e-06       6.788804e-06       3.535378e-05       7.228727e-05       7.246724e-05       4.436215e-02       1.347761e-04       9.296361e-01
     1.015625e+09       1.516659e+00       4.274365e+07       3.792129e+06       8.551322e-14       2.566548e-02       9.902432e-06       0.000000e+00       1.065995e-08       2.540910e-08       5.529670e-08       1.816682e-06       2.747517e-06       6.788805e-06       3.535378e-05       7.228727e-05       7.246725e-05       4.436215e-02       1.347760e-04       9.296361e-01
     1.171875e+09       1.575854e+00       4.255186e+07       4.068525e+06       8.551312e-14       2.566548e-02       9.902442e-06       0.000000e+00       1.066004e-08       2.540929e-08       5.529668e-08       1.816682e-06       2.747517e-06       6.788805e-06       3.535378e-05       7.228727e-05       7.246725e-05       4.436214e-02       1.347760e-04       9.296361e-01
     1.406250e+09       1.681686e+00       4.217384e+07       4.765303e+06       8.551282e-14       2.566548e-02       9.902470e-06       0.000000e+00       1.066035e-08       2.540986e-08       5.529667e-08       1.816684e-06       2.747518e-06       6.788806e-06       3.535379e-05       7.228728e-05       7.246727e-05       4.436212e-02       1.347759e-04       9.296362e-01
     1.718750e+09       1.820020e+00       4.178128e+07       5.674043e+06       8.551222e-14       2.566548e-02       9.902523e-06       0.000000e+00       1.066090e-08       2.541093e-08       5.529669e-08       1.816687e-06       2.747520e-06       6.788808e-06       3.535381e-05       7.228730e-05       7.246730e-05       4.436207e-02       1.347756e-04       9.296362e-01
     2.031250e+09       1.944275e+00       4.147356e+07       6.682853e+06       8.551124e-14       2.566548e-02       9.902605e-06       0.000000e+00       1.066166e-08       2.541252e-08       5.529678e-08       1.816693e-06       2.747523e-06       6.788812e-06       3.535385e-05       7.228734e-05       7.246737e-05       4.436197e-02       1.347750e-04       9.296363e-01
     2.343750e+09       2.044452e+00       4.124874e+07       7.636854e+06       8.550958e-14       2.566549e-02       9.902730e-06       0.000000e+00       1.066264e-08       2.541482e-08       5.529705e-08       1.816706e-06       2.747531e-06       6.788821e-06       3.535393e-05       7.228742e-05       7.246752e-05       4.436176e-02       1.347737e-04       9.296365e-01
     2.656250e+09       2.125233e+00       4.113576e+07       8.655585e+06       8.550707e-14       2.566550e-02       9.902906e-06       0.000000e+00       1.066380e-08       2.541790e-08       5.529767e-08       1.816730e-06       2.747546e-06       6.788837e-06       3.535408e-05       7.228757e-05       7.246779e-05       4.436137e-02       1.347715e-04       9.296369e-01
     2.968750e+09       2.201222e+00       4.095708e+07       9.590799e+06       8.550289e-14       2.566552e-02       9.903164e-06       0.000000e+00       1.066511e-08       2.542208e-08       5.529905e-08       1.816776e-06       2.747575e-06       6.788869e-06       3.535437e-05       7.228785e-05       7.246830e-05       4.436061e-02       1.347671e-04       9.296376e-01
     3.437500e+09       2.269221e+00       4.106136e+07       1.097261e+07       8.549161e-14       2.566560e-02       9.903788e-06       0.000000e+00       1.066735e-08       2.543168e-08       5.530443e-08       1.816922e-06       2.747681e-06       6.788988e-06       3.535546e-05       7.228877e-05       7.246995e-05       4.435779e-02       1.347532e-04       9.296404e-01
     4.062500e+09       2.343744e+00       4.115276e+07       1.298847e+07       8.546404e-14       2.566577e-02       9.905014e-06       0.000000e+00       1.067036e-08       2.544898e-08       5.531863e-08       1.817239e-06       2.747919e-06       6.789255e-06       3.535789e-05       7.229108e-05       7.247408e-05       4.435144e-02       1.347167e-04       9.296466e-01
     4.687500e+09       2.417235e+00       4.128882e+07       1.481870e+07       8.542970e-14       2.566593e-02       9.906667e-06       0.000000e+00       1.067342e-08       2.547125e-08       5.534073e-08       1.817739e-06       2.748155e-06       6.789515e-06       3.536029e-05       7.229425e-05       7.247987e-05       4.434523e-02       1.346704e-04       9.296527e-01
     5.312500e+09       2.486113e+00       4.143934e+07       1.680793e+07       8.539290e-14       2.566594e-02       9.908434e-06       0.000000e+00       1.067654e-08       2.549695e-08       5.536876e-08       1.818367e-06       2.748201e-06       6.789558e-06       3.536079e-05       7.229705e-05       7.248531e-05       4.434422e-02       1.346235e-04       9.296537e-01
     5.937500e+09       2.549146e+00       4.164790e+07       1.912909e+07       8.535466e-14       2.566593e-02       9.909439e-06       0.000000e+00       1.067973e-08       2.552360e-08       5.539884e-08       1.818936e-06       2.748181e-06       6.789526e-06       3.536062e-05       7.229777e-05       7.248695e-05       4.434508e-02       1.345803e-04       9.296529e-01
     6.562500e+09       2.601589e+00       4.186974e+07       2.166044e+07       8.531545e-14       2.566586e-02       9.909524e-06       0.000000e+00       1.068274e-08       2.554888e-08       5.542605e-08       1.819093e-06       2.748072e-06       6.789361e-06       3.535973e-05       7.229771e-05       7.248686e-05       4.434955e-02       1.345412e-04       9.296485e-01
     7.187500e+09       2.629328e+00       4.190995e+07       2.362474e+07       8.527464e-14       2.566578e-02       9.909405e-06       0.000000e+00       1.068537e-08       2.557213e-08       5.544749e-08       1.819072e-06       2.747747e-06       6.788848e-06       3.535716e-05       7.229715e-05       7.248582e-05       4.436369e-02       1.345028e-04       9.296345e-01
     7.812500e+09       2.625449e+00       4.183810e+07       2.497872e+07       8.522758e-14       2.566579e-02       9.908611e-06       0.000000e+00       1.068714e-08       2.559339e-08       5.546122e-08       1.818813e-06       2.746759e-06       6.787167e-06       3.535054e-05       7.229551e-05       7.248319e-05       4.440565e-02       1.344575e-04       9.295926e-01
     8.437500e+09       2.583814e+00       4.156805e+07       2.568544e+07       8.520327e-14       2.566583e-02       9.907630e-06       0.000000e+00       1.068790e-08       2.560940e-08       5.546915e-08       1.818367e-06       2.745776e-06       6.785333e-06       3.534532e-05       7.229423e-05       7.248154e-05       4.444289e-02       1.344334e-04       9.295554e-01
     9.062500e+09       2.510527e+00       4.113962e+07       2.568544e+07       8.520065e-14       2.566612e-02       9.907020e-06       0.000000e+00       1.068850e-08       2.562777e-08       5.547876e-08       1.817685e-06       2.744959e-06       6.783595e-06       3.534266e-05       7.229437e-05       7.248268e-05       4.445094e-02       1.344304e-04       9.295470e-01
     9.687500e+09       2.428415e+00       4.068079e+07       2.568544e+07       8.520047e-14       2.566625e-02       9.906949e-06       0.000000e+00       1.068861e-08       2.563186e-08       5.548105e-08       1.817479e-06       2.744792e-06       6.783200e-06       3.534238e-05       7.229449e-05       7.248337e-05       4.445153e-02       1.344302e-04       9.295463e-01
     1.031250e+10       2.334222e+00       4.025523e+07       2.577002e+07       8.520563e-14       2.566691e-02       9.907152e-06       0.000000e+00       1.068919e-08       2.564271e-08       5.549111e-08       1.817444e-06       2.744804e-06       6.783213e-06       3.534275e-05       7.229568e-05       7.248866e-05       4.444252e-02       1.344338e-04       9.295547e-01
     1.093750e+10       2.261092e+00       3.984310e+07       2.697294e+07       8.521115e-14       2.566759e-02       9.907367e-06       0.000000e+00       1.068978e-08       2.565364e-08       5.550134e-08       1.817442e-06       2.744808e-06       6.783217e-06       3.534313e-05       7.229692e-05       7.249415e-05       4.443290e-02       1.344377e-04       9.295636e-01
     1.156250e+10       2.199223e+00       3.937997e+07       2.864601e+07       8.522823e-14       2.566921e-02       9.908138e-06       0.000000e+00       1.069112e-08       2.566939e-08       5.552285e-08       1.817522e-06       2.744940e-06       6.783489e-06       3.534449e-05       7.230002e-05       7.250831e-05       4.440317e-02       1.344479e-04       9.295917e-01
     1.203125e+10       2.155819e+00       3.910955e+07       3.000881e+07       8.524781e-14       2.567080e-02       9.909071e-06       0.000000e+00       1.069241e-08       2.568185e-08       5.554246e-08       1.817661e-06       2.745147e-06       6.783926e-06       3.534620e-05       7.230319e-05       7.252281e-05       4.436888e-02       1.344566e-04       9.296243e-01
     1.234375e+10       2.130736e+00       3.892712e+07       3.094370e+07       8.526102e-14       2.567187e-02       9.909700e-06       0.000000e+00       1.069327e-08       2.569021e-08       5.555564e-08       1.817756e-06       2.745286e-06       6.784222e-06       3.534735e-05       7.230532e-05       7.253258e-05       4.434576e-02       1.344618e-04       9.296464e-01
     1.265625e+10       2.105522e+00       3.870904e+07       3.190424e+07       8.527929e-14       2.567320e-02       9.910652e-06       0.000000e+00       1.069436e-08       2.569926e-08       5.557147e-08       1.817941e-06       2.745521e-06       6.784732e-06       3.534888e-05       7.230782e-05       7.254524e-05       4.431426e-02       1.344674e-04       9.296765e-01
